id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1265645281456119814,Wed May 27 14:05:24 +0000 2020,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",#ThrowBack Video-This meat truck had an accident in Athi River watch the reaction of the by-standers @ma3route https://t.co/CQe6tetlEL,Video-This meat truck accident Athi River watch reaction by-standers,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,Makaobora,False,ThrowBack,Ma3Route,Nairobi,
1265643014321561634,Wed May 27 13:56:23 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@Ma3Route Hehe sorry guys autocorrect was typing while driving with caution.. I ment head on collision @Jim_Namu @Gli_Imperatori @MartynM18,Hehe sorry guys autocorrect typing driving caution .. I ment head collision,"Sentiment(polarity=-0.5, subjectivity=1.0)",-0.5,1.0,en,0,0,Enokoh,,,"Ma3Route, Jim_Namu, Gli_Imperatori, MartynM18",Nairobi,
1265630148788977667,Wed May 27 13:05:16 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@fellowmkenya @Ma3Route This has started on some streets like Kenyatta Avenue and wabera street,This started streets like Kenyatta Avenue wabera street,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,benard_mutuku,,,"fellowmkenya, Ma3Route",Nairobi,
1265628062701490178,Wed May 27 12:56:59 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @Ma3Route: 22:57 if you've ever been terorised along Waiyaki way.... This is the face..... 40days came early.  https://t.co/XQ8AiUMWoL v…,:57 've ever terorised along Waiyaki way .... This face ..... days came early v…,"Sentiment(polarity=0.1, subjectivity=0.3)",0.1,0.3,en,0,197,Robe_rt,False,,Ma3Route,Nairobi,
1265622567559278594,Wed May 27 12:35:08 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@ndambo_charles @NziokaWaita @Ma3Route @KenyanTraffic @NMS_Kenya @Ke_NaMATA @KURAroads @FredMatiangi People need wa… https://t.co/a03WAOea2F,People need wa…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,tonymugodev,,,"ndambo_charles, NziokaWaita, Ma3Route, KenyanTraffic, NMS_Kenya, Ke_NaMATA, KURAroads, FredMatiangi",Nairobi,
1265609829793632256,Wed May 27 11:44:31 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Ma3Route: 22:57 if you've ever been terorised along Waiyaki way.... This is the face..... 40days came early.  https://t.co/XQ8AiUMWoL v…,:57 've ever terorised along Waiyaki way .... This face ..... days came early v…,"Sentiment(polarity=0.1, subjectivity=0.3)",0.1,0.3,en,0,197,mentallergy,False,,Ma3Route,Nairobi,
1265609583353122817,Wed May 27 11:43:33 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@Ma3Route @itscleotrevor @njogkaranja the scene☺️,scene️,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,mwangikam1,,,"Ma3Route, itscleotrevor, njogkaranja",Nairobi,
1265607899298103297,Wed May 27 11:36:51 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @KenyanTraffic: One noble act. Spotted this tuk tuk fitted with a tap. Kongole kwake. #TumalizeKorona @NPSOfficial_KE  https://t.co/WvSh…,One noble act Spotted tuk tuk fitted tap Kongole kwake,"Sentiment(polarity=0.6, subjectivity=0.9)",0.6,0.9,en,0,2,Michael18341,,TumalizeKorona,"KenyanTraffic, NPSOfficial_KE",Nairobi,
1265601824205287424,Wed May 27 11:12:43 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @InfoKfcb: The winning Matatu crew will be announced on Friday 29th May, 2020 in the afternoon on our social media platforms and will wa…",The winning Matatu crew announced Friday th May afternoon social media platforms wa…,"Sentiment(polarity=0.26666666666666666, subjectivity=0.4083333333333333)",0.26666666666666666,0.4083333333333333,en,0,5,FMushukhani,,,InfoKfcb,Nairobi,
1265601811534282753,Wed May 27 11:12:40 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @InfoKfcb: Voting begins now until Friday 29th May, 2020 at 10:00am.

START VOTING NOW!!!!

@EzekielMutua @sammongare
@NellyMuluka @Ma3R…",Voting begins Friday th May :00am START VOTING NOW …,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,5,FMushukhani,,,"InfoKfcb, EzekielMutua, sammongare, NellyMuluka",Nairobi,
